iter	Passed	Remaining
646	16054	8759
647	16084	8737
648	16111	8713
649	16141	8691
650	16171	8669
651	16198	8645
652	16222	8620
653	16250	8597
654	16272	8571
655	16298	8546
656	16330	8525
657	16356	8501
658	16386	8479
659	16414	8455
660	16442	8432
661	16469	8408
662	16501	8387
663	16527	8363
664	16552	8338
665	16579	8314
666	16607	8291
667	16637	8268
668	16664	8244
669	16695	8222
670	16719	8197
671	16745	8173
672	16770	8148
673	16797	8124
674	16827	8102
675	16848	8075
676	16879	8053
677	16903	8028
678	16930	8003
679	16952	7977
680	16983	7955
681	17011	7932
682	17035	7906
683	17061	7882
684	17090	7859
685	17122	7837
686	17149	7813
687	17175	7788
688	17203	7765
689	17230	7741
690	17253	7715
691	17278	7690
692	17307	7667
693	17331	7641
694	17365	7620
695	17390	7595
696	17414	7570
697	17445	7548
698	17475	7525
699	17497	7499
700	17523	7474
701	17552	7450
702	17576	7425
703	17600	7400
704	17633	7378
705	17659	7353
706	17684	7329
707	17708	7303
708	17735	7279
709	17769	7257
710	17793	7232
711	17820	7208
712	17856	7187
713	17883	7163
714	17910	7139
715	17944	7117
716	17977	7095
717	18007	7072
718	18035	7048
719	18058	7022
720	18085	6998
721	18115	6975
722	18147	6952
723	18204	6939
724	18230	6915
725	18254	6889
726	18282	6865
727	18312	6842
728	18335	6816
729	18363	6792
730	18393	6768
731	18418	6743
732	18444	6718
733	18478	6696
734	18502	6671
735	18530	6646
736	18559	6622
737	18585	6598
738	18611	6573
739	18649	6552
740	18677	6528
741	18704	6503
742	18732	6479
743	18762	6455
744	18794	6433
745	18822	6408
746	18847	6383
747	18877	6359
748	18909	6336
749	18935	6311
750	18967	6288
751	18995	6264
752	19022	6239
753	19052	6215
754	19078	6191
755	19114	6169
756	19144	6145
757	19169	6120
758	19192	6094
759	19222	6070
760	19255	6047
761	19288	6024
762	19312	5998
763	19337	5973
764	19368	5949
765	19392	5923
766	19419	5899
767	19450	5875
768	19476	5850
769	19506	5826
770	19537	5802
771	19565	5778
772	19590	5753
773	19624	5730
774	19650	5704
775	19677	5680
776	19705	5655
777	19742	5633
778	19772	5609
779	19799	5584
780	19824	5558
781	19851	5534
782	19882	5510
783	19912	5486
784	19942	5461
785	19966	5436
786	19994	5411
787	20020	5386
788	20049	5361
789	20077	5337
790	20106	5312
791	20132	5287
792	20157	5261
793	20181	5236
794	20207	5210
795	20231	5185
796	20268	5162
797	20313	5142
798	20340	5117
799	20370	5092
800	20396	5067
801	20427	5043
802	20453	5017
803	20480	4992
804	20507	4967
805	20536	4942
806	20563	4917
807	20608	4897
808	20632	4871
809	20658	4845
810	20685	4820
811	20710	4794
812	20742	4771
813	20771	4746
814	20796	4720
815	20824	4695
816	20847	4669
817	20872	4644
818	20902	4619
819	20923	4592
820	20952	4568
821	20977	4542
822	21004	4517
823	21031	4492
824	21054	4466
825	21080	4440
826	21111	4416
827	21139	4391
828	21168	4366
829	21208	4343
830	21274	4326
831	21303	4301
832	21330	4276
833	21359	4251
834	21387	4226
835	21415	4201
836	21444	4176
837	21470	4150
838	21496	4125
839	21525	4100
840	21589	4081
841	21647	4062
842	21677	4037
843	21704	4011
844	21734	3986
845	21767	3962
846	21801	3938
847	21831	3913
848	21852	3886
849	21869	3859
850	21889	3832
851	21908	3805
852	21921	3777
853	21936	3750
854	21950	3722
855	21962	3694
856	21975	3666
857	21986	3638
858	21999	3611
859	22012	3583
860	22027	3556
861	22042	3528
862	22057	3501
863	22069	3473
864	22080	3446
865	22095	3418
866	22111	3392
867	22126	3364
868	22139	3337
869	22153	3310
870	22168	3283
871	22182	3256
872	22195	3228
873	22207	3201
874	22220	3174
875	22231	3146
876	22245	3120
877	22260	3093
878	22274	3066
879	22288	3039
880	22301	3012
881	22312	2985
882	22327	2958
883	22342	2931
884	22356	2905
885	22375	2878
886	22389	2852
887	22402	2825
888	22415	2798
889	22429	2772
890	22448	2746
891	22461	2719
892	22474	2692
893	22487	2666
894	22501	2639
895	22521	2614
896	22536	2587
897	22549	2561
898	22563	2534
899	22575	2508
900	22591	2482
901	22605	2456
902	22617	2429
903	22630	2403
904	22642	2376
905	22655	2350
906	22668	2324
